"","Year","Total","Gas","Liquids","Solids","CementProduction","GasFlaring","PerCapita"
"241",1991,0.0123031496062992,0.025390625,0.0453815261044177,-0.0302013422818792,0.0254777070063694,0.125,-0.00869565217391305
"242",1992,-0.00988494571382272,0.0323809523809524,-0.0395697272378025,0.00475778546712803,0.0372670807453416,-0.2,-0.026315789473684
"243",1993,-0.000981996726677578,0.0304428044280443,0.0052,-0.0262591476538958,0.0538922155688623,0.0277777777777778,-0.00900900900900902
"244",1994,0.0170380078636959,0.0143240823634736,0.00875447672105054,0.0234305923961096,0.0568181818181818,0.0540540540540541,0
"245",1995,0.0219072164948454,0.0167696381288614,0.00946745562130178,0.03585313174946,0.0591397849462366,0,0.0090909090909091
"246",1996,0.023171500630517,0.0416666666666667,0.0261821023837437,0.0100083402835696,0.0304568527918782,0.0256410256410256,0.00900900900900902
"247",1997,0.0150978277615159,-0.00416666666666667,0.0277989337395278,0.00949628406275805,0.0295566502463054,0,0
"248",1998,-0.0027318257702231,0.0251046025104603,0.0218599481289366,-0.0417177914110429,0,-0.1,-0.0178571428571429
"249",1999,-0.00182620605691676,0.0269387755102041,-0.00652646845540247,-0.0145113102859582,0.0382775119617225,-0.0277777777777778,-0.0181818181818182
"250",2000,0.0256136606189968,0.0214626391096979,0.0375912408759124,0.00779558250324816,0.0414746543778802,0.314285714285714,0.0185185185185185
"251",2001,0.023636093355136,0.021011673151751,0.000703482237073514,0.050709067468844,0.0486725663716814,0.0217391304347826,0.0090909090909091
"252",2002,0.00871333139703747,0.0251524390243902,-0.00492091388400703,0.00940695296523517,0.0632911392405063,0.0425531914893617,0
"253",2003,0.0606104232651886,0.033457249070632,0.0452137054044507,0.0915721231766613,0.0952380952380952,-0.0204081632653061,0.0450450450450449
"254",2004,0.0499524908375187,0.0323741007194245,0.0287259209192295,0.0779510022271715,0.0797101449275362,0.125,0.0344827586206897
"255",2005,0.037491919844861,0.0292682926829268,0.00821287779237845,0.0668044077134986,0.0738255033557047,0.111111111111111,0.025
"256",2006,0.0351401869158878,0.035883547731889,0.00749429781687846,0.0545513234344739,0.1125,0.0333333333333333,0.024390243902439
"257",2007,0.0217888527747683,0.0202614379084967,0.0019404915912031,0.0352004897459443,0.0730337078651685,0.0645161290322581,0.00793650793650794
"258",2008,0.0294533459000943,0.0416399743754004,0.00871530019367334,0.0437610881135423,0.0157068062827225,0.0454545454545455,0.015748031496063
"259",2009,-0.0111009384298466,-0.028290282902829,-0.0192,-0.00368271954674221,0.0695876288659794,-0.072463768115942,-0.0232558139534884
"260",2010,0.0574007638004861,0.0759493670886076,0.0208809135399674,0.0790446403184532,0.0795180722891566,0.03125,0.0476190476190477
"261",2011,0.0406041370252818,0.0364705882352941,0.00926813678491531,0.061133069828722,0.107142857142857,-0.0303030303030303,0.0303030303030303
"262",2012,0.0171434581405133,0.0141884222474461,0.0177327422419253,0.0146511050409734,0.0483870967741935,0.015625,0
"263",2013,0.0108572019439562,0.0106323447118075,0.000622277535780958,0.0110132158590308,0.0653846153846154,0.0461538461538462,0
